job_id,job_context,objective,required_years,manual_imp,manual_diff,ce_raw_score,final_importance,final_difficulty
BE-002,Senior Backend Developer (Go/Rust). Architect and maintain high-performance microservices for a fintech ledger system.. Responsibilities: Migrate legacy monolith to Microservices. Improve Ledger throughput. Write unit/integration tests. Participate in system design. Technical Skills: Rust: Memory management and zero-cost abstractions. gRPC: Defining service contracts,Migrate legacy monolith to Microservices architecture,7.0,10.0,9.0,7.301779,10.0,9.0
BE-002,Senior Backend Developer (Go/Rust). Architect and maintain high-performance microservices for a fintech ledger system.. Responsibilities: Migrate legacy monolith to Microservices. Improve Ledger throughput. Write unit/integration tests. Participate in system design. Technical Skills: Rust: Memory management and zero-cost abstractions. gRPC: Defining service contracts,Expertise in Rust memory management and zero-cost abstractions,7.0,10.0,9.0,6.5102854,9.6,8.6
BE-002,Senior Backend Developer (Go/Rust). Architect and maintain high-performance microservices for a fintech ledger system.. Responsibilities: Migrate legacy monolith to Microservices. Improve Ledger throughput. Write unit/integration tests. Participate in system design. Technical Skills: Rust: Memory management and zero-cost abstractions. gRPC: Defining service contracts,Write comprehensive unit and integration tests,7.0,9.0,3.0,0.6871062,6.8,6.1
BE-002,Senior Backend Developer (Go/Rust). Architect and maintain high-performance microservices for a fintech ledger system.. Responsibilities: Migrate legacy monolith to Microservices. Improve Ledger throughput. Write unit/integration tests. Participate in system design. Technical Skills: Rust: Memory management and zero-cost abstractions. gRPC: Defining service contracts,Cross-functional communication (Product Owners),7.0,8.0,5.0,-11.31953,1.0,1.0
BE-002,Senior Backend Developer (Go/Rust). Architect and maintain high-performance microservices for a fintech ledger system.. Responsibilities: Migrate legacy monolith to Microservices. Improve Ledger throughput. Write unit/integration tests. Participate in system design. Technical Skills: Rust: Memory management and zero-cost abstractions. gRPC: Defining service contracts,Experience with gRPC service contracts,7.0,8.0,6.0,2.3421538,7.6,6.8
ML-001,Senior Machine Learning Engineer. Lead the development of LLM inference engines and optimize large-scale transformer models for production environments.. Responsibilities: Design and deploy scalable LLM inference pipelines. Implement model quantization strategies. Optimize CUDA kernels. Mentor junior researchers. Technical Skills: PyTorch: Deep understanding of distributed training and FSDP. Kubernetes: Ability to manage and debug model serving pods,Design and deploy scalable LLM inference pipelines,5.0,10.0,9.0,8.5289,10.0,7.0
ML-001,Senior Machine Learning Engineer. Lead the development of LLM inference engines and optimize large-scale transformer models for production environments.. Responsibilities: Design and deploy scalable LLM inference pipelines. Implement model quantization strategies. Optimize CUDA kernels. Mentor junior researchers. Technical Skills: PyTorch: Deep understanding of distributed training and FSDP. Kubernetes: Ability to manage and debug model serving pods,Deep understanding of distributed training and FSDP (PyTorch),5.0,10.0,8.0,7.072113,9.3,6.5
ML-001,Senior Machine Learning Engineer. Lead the development of LLM inference engines and optimize large-scale transformer models for production environments.. Responsibilities: Design and deploy scalable LLM inference pipelines. Implement model quantization strategies. Optimize CUDA kernels. Mentor junior researchers. Technical Skills: PyTorch: Deep understanding of distributed training and FSDP. Kubernetes: Ability to manage and debug model serving pods,Ability to manage and debug model serving pods (Kubernetes),5.0,7.0,6.0,6.744463,9.2,6.4
ML-001,Senior Machine Learning Engineer. Lead the development of LLM inference engines and optimize large-scale transformer models for production environments.. Responsibilities: Design and deploy scalable LLM inference pipelines. Implement model quantization strategies. Optimize CUDA kernels. Mentor junior researchers. Technical Skills: PyTorch: Deep understanding of distributed training and FSDP. Kubernetes: Ability to manage and debug model serving pods,Implement model quantization strategies,5.0,9.0,9.0,6.6690607,9.1,6.4
ML-001,Senior Machine Learning Engineer. Lead the development of LLM inference engines and optimize large-scale transformer models for production environments.. Responsibilities: Design and deploy scalable LLM inference pipelines. Implement model quantization strategies. Optimize CUDA kernels. Mentor junior researchers. Technical Skills: PyTorch: Deep understanding of distributed training and FSDP. Kubernetes: Ability to manage and debug model serving pods,Masters in Computer Science (or equivalent theoretical depth),5.0,8.0,5.0,-11.14138,1.0,1.0
OPS-003,DevOps & SRE Lead. Manage cloud infrastructure and ensure 99.99% uptime.. Responsibilities: Reduce MTTR by 50%. Implement Chaos Engineering. Manage PagerDuty rotations. Write Terraform modules. Technical Skills: Terraform: Manage state and modules for AWS. Python: Scripting automation,Reduce MTTR (Mean Time To Recovery) by 50%,6.0,10.0,8.0,2.7076888,7.6,6.8
OPS-003,DevOps & SRE Lead. Manage cloud infrastructure and ensure 99.99% uptime.. Responsibilities: Reduce MTTR by 50%. Implement Chaos Engineering. Manage PagerDuty rotations. Write Terraform modules. Technical Skills: Terraform: Manage state and modules for AWS. Python: Scripting automation,Manage Terraform state and modules for AWS,6.0,10.0,5.0,7.929718,10.0,9.0
OPS-003,DevOps & SRE Lead. Manage cloud infrastructure and ensure 99.99% uptime.. Responsibilities: Reduce MTTR by 50%. Implement Chaos Engineering. Manage PagerDuty rotations. Write Terraform modules. Technical Skills: Terraform: Manage state and modules for AWS. Python: Scripting automation,Implement Chaos Engineering (Chaos Mesh/Gremlin),6.0,6.0,8.0,1.853207,7.2,6.5
OPS-003,DevOps & SRE Lead. Manage cloud infrastructure and ensure 99.99% uptime.. Responsibilities: Reduce MTTR by 50%. Implement Chaos Engineering. Manage PagerDuty rotations. Write Terraform modules. Technical Skills: Terraform: Manage state and modules for AWS. Python: Scripting automation,Manage on-call rotation schedules,6.0,7.0,2.0,-5.0596285,4.0,3.6
OPS-003,DevOps & SRE Lead. Manage cloud infrastructure and ensure 99.99% uptime.. Responsibilities: Reduce MTTR by 50%. Implement Chaos Engineering. Manage PagerDuty rotations. Write Terraform modules. Technical Skills: Terraform: Manage state and modules for AWS. Python: Scripting automation,Adherence to Blameless Post-Mortem culture,6.0,9.0,6.0,-11.41979,1.0,1.0
